Judge__1979,probably grabbed or something
itsGetter13,probably grabbed
Matteo-Cubby114,probably grabbed
Xx_SEBAS_GM_xX,grab me while i was in last place AND waited at end to prolong
Florian_Waffles,grabbed right before end and beat me for 1st place
IthacaBs,prolong game
Treko09,grabby
Only_Jos_Duh,grabby
FirmLion520,grabby mc grabber
PhatBoiiGamer,grabby
four_seventeen,grabby
flux_astro_,prolonging game
Pache_94,grabby
SloppyT8nt4U,most annoying taunt-spammer of all time
FirmLion520,grabby mc grabber
Cam_poo,grabby mo fo
Luisillo_Gz,grabby pusher
cupcake salad,grabster
Fen21212,grabby beyatch
Evans_Bro06,grab you right as you jump a gap
jmartz01,grabbin in the jump zone
Super Evil Guy,pushed me off & he won too much
brandy3636,grabby little bitch
M1nty-On-k3ys,dingleberry grabber + taunter at the end of a level
CrudeGull750,delay the game by taunting at the end
SuicidNik0,delaying the game
Sheluvidot,super delay :/
serch98,prolong the game with endless guitar
Ace1xTaurus,grabbin everyone in here
Im-that-girl25,prolonging game
GWUNukie,prolonging game
RCuster,pushed us both off on ice final
SOYBOYGamingOnFB,pushing on final round
ANDRE-PIXELES,grabbing on the rhino game
Buck1532,grabbing POS grabbed me right before a jump
FinalPaige,grabby grabby on final ice
RichTarantula821,goofed off right before the end when he was on our team and didn't finish even though he could have
jafetp360,standing at the end for no reason
silvercadycat1,grabby pusher who is a turd
RoughNarwhal843,grabby bastard
TnT-Almighty,pushed me off the ice
onlyspanner,grabby on ice
The Tajin King,grabbed me as I jumped off a ledge and he won twice in a row
Adramelech71,abandoned us in our hour of need, even after Tim pulled off the miracle save
Solide_C,pushed me off on roll out
Mklyons,delaying the game
HichamG41,grabby AF
peyotecoyote62,quit on us
Spelmath,quit on us
Dibowlz,grabbed me and made me fall
diegofernando_99,too good (won twice in a row)
MuchScorpion749,grabbed me before ledge, and he won three times
Loganert05,standing at the end like a bitch
AlexSigh1988,grabbin when he should just finish
Lucid_muisongoku,grabby asshat on the final level out of nowhere
RetroRazor,standing at the end >:(
AgreedJackal240,standing at the end >:(
MIGUEL_CRACK15,super asshat ruined my slimescraper twice, and then delayed the whole game
Skorpion1976leo,delaying the slimescraper game
sourcake33,delaying the slimescraper
FlatMacaw489,delaying the game >:(
U5eR_of_Urth,delaying the game >:(
corral-vegano,delaying the game >:(
DDM_26m,delaying the game big time >:(
